date,Open,High,Low,Close,Volume,Raw_Close
2020-07-13 00:00:00+00:00,294.0746473637403,296.4446613899123,288.5629868377589,289.2152,102997508,314.84
2020-07-14 00:00:00+00:00,287.80051182114636,293.7347323968393,286.60631882603786,292.9631,93656953,318.92
2020-07-15 00:00:00+00:00,296.1690215504117,296.74774579462485,293.2799933789032,295.6546,87196523,321.85
2020-07-16 00:00:00+00:00,293.76229000592286,295.13101889709776,293.11926301006883,294.6809,54622520,320.79
2020-07-17 00:00:00+00:00,295.68217759542455,296.3160184756931,293.7117592067636,295.5352,62774910,321.72
2020-07-20 00:00:00+00:00,295.26881705722747,298.66767411198816,294.5247429452393,297.9236,56308848,324.32
2020-07-21 00:00:00+00:00,299.88019824005414,300.32113098673886,297.57448741884866,298.5574,57498969,325.01
2020-07-22 00:00:00+00:00,298.1992133574007,300.56922743682304,298.0889801444043,300.2569,57792922,326.86
2020-07-23 00:00:00+00:00,299.8986212565024,300.59676489038895,295.31475713401045,296.6743,75737992,322.96
2020-07-24 00:00:00+00:00,294.8279027050611,295.7832571802543,293.26259114185984,294.7636,73766602,320.88
2020-07-27 00:00:00+00:00,295.4525102190458,297.0876358857744,294.667098733061,296.9131,48292969,323.22
2020-07-28 00:00:00+00:00,296.187448703179,297.29896690226354,294.7360447737958,295.03,57494980,321.17
2020-07-29 00:00:00+00:00,295.9026698449803,299.2188521315207,295.861332392655,298.6585,48454160,325.12
2020-07-30 00:00:00+00:00,295.70056337202124,298.0062745061119,293.62450474132606,297.5929,61861711,323.96
2020-07-31 00:00:00+00:00,299.3749618706358,300.04554708746787,295.17691469128994,299.9445,85210758,326.52
2020-08-03 00:00:00+00:00,301.59805327412636,302.7922463456918,301.05607334164665,302.0298,53077953,328.79
2020-08-04 00:00:00+00:00,301.17545811064656,303.1964,301.17545811064656,303.1964,41917887,330.06
2020-08-05 00:00:00+00:00,304.4916895365993,305.3368108277378,304.22529260787087,305.0796,42866352,332.11
2020-08-06 00:00:00+00:00,304.50086134059165,307.23831930727124,304.1793478210152,307.1189,43679449,334.33
2020-08-07 00:00:00+00:00,306.1542932839166,307.624069055803,305.2540556236363,307.3393,57308273,334.57
2020-08-10 00:00:00+00:00,307.7894089876926,308.44162196561075,305.85573529963943,308.2579,44282090,335.57
2020-08-11 00:00:00+00:00,309.4337704026442,310.0676112860577,304.98769811899035,305.7134,69601086,332.8
2020-08-12 00:00:00+00:00,308.1384803461356,310.747332254623,305.74798199350994,309.9757,53826129,337.44
2020-08-13 00:00:00+00:00,309.21330580411484,310.72111222741444,308.4967900187038,309.4154,41816152,336.83
2020-08-14 00:00:00+00:00,309.02959769029815,309.95739381308636,308.3038957724736,309.4246,47260391,336.84
2020-08-17 00:00:00+00:00,310.4350582995472,310.8025022935101,309.4353350529727,310.4075,35480969,337.91
2020-08-18 00:00:00+00:00,310.8025169914954,311.5006606130404,309.2133216424522,311.0781,38733910,338.64
2020-08-19 00:00:00+00:00,311.45466992853545,311.96909144500785,309.2224479909854,309.7828,68054242,337.23
2020-08-20 00:00:00+00:00,308.06505872058653,311.2250772141422,307.9364533167791,310.7474,42207832,338.28
2020-08-21 00:00:00+00:00,310.41666850477196,312.0701663838812,310.0767828296217,311.8497,55106633,339.48
2020-08-24 00:00:00+00:00,314.2748120961157,315.0831887903884,311.8224911608538,315.0097,48588660,342.92
2020-08-25 00:00:00+00:00,315.57012005405085,316.19477490700916,314.4126713559223,316.1121,38463379,344.12
2020-08-26 00:00:00+00:00,316.7000057197111,319.54769691860633,316.1580257818569,319.2813,50790238,347.57
2020-08-27 00:00:00+00:00,320.14474978899324,321.4216176039962,318.32590211006806,319.9794,58034141,348.33
2020-08-28 00:00:00+00:00,320.9990845798391,322.17490540247593,319.8140776570255,322.0463,48588941,350.58
