total_return,cagr,volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,max_drawdown_duration,total_trades,win_rate,avg_win,avg_loss,profit_factor,expectancy,final_value,peak_value,exposure_time,alpha,beta,information_ratio,average_exposure_pct,average_cash_pct,gross_turnover_x,strategy,status,return_delta_vs_rsi_pct_points,sharpe_delta_vs_rsi,drawdown_delta_vs_rsi_pct_points,return_delta_vs_voo_benchmark_pct_points,sharpe_delta_vs_voo_benchmark,drawdown_delta_vs_voo_benchmark_pct_points
13.914818726432804,2.64022466418139,3.9932524084783836,0.6763003925252197,0.6503550517645525,0.5280119482930298,5.000312346561047,595,34,76.47058823529412,150.7556884769587,-142.08551938929526,3.4483175319766555,81.85187486136954,11391.48187264328,11391.48187264328,44.462151394422314,0.5127999496475926,0.10059778391724919,-0.7207414644734591,8.280868740804062,91.71913125919595,7.171563637796967,AAPL.US:rsi_baseline,available,0.0,0.0,0.0,-73.9679598028583,-0.14131515936220496,-21.31004488594242
14.577535921294201,2.759389140552293,3.887168828693631,0.723668281055664,0.6666263459381433,0.5464476121996865,5.049686518794666,427,38,84.21052631578947,109.59897615270029,-98.61000877126033,5.927672860980019,76.72387326996966,11457.75359212942,11457.75359212942,39.68127490039841,0.7139667019271521,0.09651544932904102,-0.7133604025244106,7.292322842849555,92.70767715715044,7.877813560547817,AAPL.US:itoflow_rsi,available,0.662717194861397,0.04736788853044438,0.04937417223361962,-73.3052426079969,-0.09394727083176058,-21.2606707137088
6.407741567709145,1.2500820263216639,4.243022064576164,0.3153475939785018,0.328584793098314,0.22510868355947766,5.553237691923023,1100,22,54.54545454545454,233.7468069252105,-152.34133695606965,1.8412347818054051,58.252196070083144,10640.774156770914,10670.426956770916,55.85657370517928,-1.0404174755156217,0.1093619358344909,-0.7795440854311486,10.674204818466123,89.32579518153388,4.700694449733284,AAPL.US:mean_reversion,available,-7.507077158723659,-0.36095279854671786,0.5529253453619765,-81.47503696158196,-0.5022679579089229,-20.757119540580444
8.230456327554931,1.5946499961559502,3.550154535472945,0.4654928293661051,0.40836539572087416,0.4153046727217714,3.8397111828892605,466,44,50.0,158.40398135866533,-83.5816511081657,1.8952004328518186,37.41116512524981,10823.045632755493,11052.897785041032,51.07569721115538,0.14069681029018424,0.06951667621849754,-0.7346740819946747,10.027146957975546,89.97285304202445,9.32657185958388,AAPL.US:supertrend,available,-5.684362398877873,-0.21080756315911459,-1.1606011636717861,-79.65232220173617,-0.35212272252131954,-22.470646049614206
2.2763274220410312,0.45123779140208153,1.6709219522883807,0.278977616815968,0.05927855446880234,0.25596702830460233,1.7628746733157592,360,2,100.0,227.6327422041032,0.0,inf,227.6327422041032,10227.632742204103,10244.03206896447,1.0358565737051793,0.08233778049266817,0.01764785012389432,-0.7400433244903437,0.20172395654625888,99.79827604345375,0.3942749624760078,AAPL.US:dip_score,available,-11.638491304391772,-0.3973227757092517,-3.2374376732452874,-85.60645110725007,-0.5386379350714566,-24.547482559187706
5.723325519768514,1.119479374233756,1.8057071412920456,0.6293116342415647,0.5813610830092796,0.454737224904448,2.461815995972152,428,38,84.21052631578947,44.95245087146485,-48.96888732219813,4.89589242798933,30.122765893518064,10572.332551976851,10572.332551976851,39.68127490039841,0.1619148725799869,0.04480508025028436,-0.7375136817397457,3.4945250108239865,96.50547498917602,3.615990806649129,AAPL.US:vol_scaled,available,-8.19149320666429,-0.04698875828365501,-2.5384963505888947,-82.1594530095226,-0.18830391764585996,-23.848541236531315
3.325279618018212,0.6564725816874173,2.7719127251090288,0.2509618563809826,0.18260609912772705,0.14518957061551926,4.5214857989066,787,62,61.29032258064516,56.32486250951517,-61.470368823246524,1.4507970915737596,10.72670844522032,10332.527961801821,10334.055783000153,20.39840637450199,-0.3752420152917882,0.049239836583404716,-0.7548085714505007,3.7465986683719774,96.25340133162803,11.362035510731813,AAPL.US:combined,available,-10.589539108414591,-0.42533853614423706,-0.4788265476544469,-84.55749891127289,-0.5666536955064421,-21.788871433596867
138.3513005037475,18.974485186964984,29.22995275143406,0.7440434775222736,1.0250442929946286,0.5693169819548386,33.32850729625723,354,2,100.0,13835.130050374742,0.0,inf,13835.130050374742,23835.130050374748,24176.151138048874,99.9203187250996,-1.5353230753151897e-06,0.9999992318217391,-0.7924791656157003,100.0477920324198,0.5493967228714511,3.3848979029404145,AAPL.US:buy_hold,available,124.4364817773147,0.06774308499705395,28.328194949696183,,,
4.756238042529494,0.9337784489673151,6.936483621132486,0.16926479929990682,0.16332234701359205,0.058376768236037054,15.99572016716877,224,28,71.42857142857143,175.6773923911625,-320.2875299146691,1.3712475196737006,33.9731288752106,10475.62380425295,11570.119414768456,42.86852589641435,-1.4806373410503313,0.17489872061235698,-0.5847072035044517,14.714533801634621,85.28546619836538,9.368453169000555,MSFT.US:rsi_baseline,available,0.0,0.0,0.0,-83.12654048676161,-0.6483507525875178,-10.314637065334697
15.566972806894535,2.9362796964715443,7.092073342675966,0.44534597729562314,0.47008123736390406,0.24347654920365208,12.059804963046112,415,34,70.58823529411765,246.77184053071542,-280.912961135826,2.108312891220969,91.57042827585032,11556.697280689454,12081.979724053457,48.286852589641434,0.21545911908035337,0.19388762362347794,-0.5148173970628339,15.676465119685417,84.32353488031458,12.319583989275543,MSFT.US:itoflow_rsi,available,10.81073476436504,0.2760811779957163,-3.935915204122658,-72.31580572239656,-0.3722695745918015,-14.250552269457355
