date,Open,High,Low,Close,Volume,Raw_Close
2020-07-13 00:00:00+00:00,269.8389875847282,271.9951304641029,264.80187081546546,265.3065,3657909,289.16
2020-07-14 00:00:00+00:00,264.04955931815863,269.123377251476,262.9852503122548,268.8573,4053101,293.03
2020-07-15 00:00:00+00:00,271.75660430944083,272.2715096281162,269.1508824544194,271.2428,6601428,295.63
2020-07-16 00:00:00+00:00,269.56371767818985,270.76565256640777,268.96733777182214,270.4537,3082869,294.77
2020-07-17 00:00:00+00:00,271.32537630857723,271.9034061580105,269.51329860598884,271.1694,2245953,295.55
2020-07-20 00:00:00+00:00,270.96757909130565,274.04123022717357,270.297798396027,273.4265,2539891,298.01
2020-07-21 00:00:00+00:00,275.12383437029104,275.57341310317116,273.10531761042097,273.9953,3310876,298.63
2020-07-22 00:00:00+00:00,273.61915866546803,275.7661267805414,273.5182328139047,275.5551,4121139,300.33
2020-07-23 00:00:00+00:00,275.18804918784116,275.821129419694,271.01338968794227,272.2612,3487108,296.74
2020-07-24 00:00:00+00:00,270.536300305271,271.40793255545753,269.1049883997015,270.4996,2850971,294.82
2020-07-27 00:00:00+00:00,271.1052133346803,272.6099261743611,270.4262575411658,272.4723,2253331,296.97
2020-07-28 00:00:00+00:00,271.7473829160031,272.8025165859113,270.47204743672285,270.784,3135561,295.13
2020-07-29 00:00:00+00:00,271.5822296618681,274.57330421827925,271.49047890860396,274.0595,2370847,298.7
2020-07-30 00:00:00+00:00,271.3437603911159,273.4723785155069,269.4445192197843,273.0595,2951740,297.61
2020-07-31 00:00:00+00:00,274.74771991002996,275.3441,270.88501194268576,275.3441,4460643,300.1
2020-08-03 00:00:00+00:00,276.7661474386569,277.8416497692639,276.28904352130866,277.0781,3769021,301.99
2020-08-04 00:00:00+00:00,276.37168419178266,278.2434,276.37168419178266,278.2434,2129215,303.26
2020-08-05 00:00:00+00:00,279.482045797149,280.2068769457644,279.2067934622317,279.9775,2620744,305.15
2020-08-06 00:00:00+00:00,279.45452953125005,281.94097570312505,279.15175195312503,281.8584,4088158,307.2
2020-08-07 00:00:00+00:00,280.9684161764706,282.225401874024,280.13495208328993,282.0052,3319618,307.36
2020-08-10 00:00:00+00:00,282.48224649412987,283.0511012194331,280.68393155607447,282.9043,2118154,308.34
2020-08-11 00:00:00+00:00,283.9869528984796,284.5334204260912,279.90404407062283,280.6197,3571230,305.85
2020-08-12 00:00:00+00:00,282.82176114372334,285.1705809605212,282.77588575667653,284.4641,2953661,310.04
2020-08-13 00:00:00+00:00,283.78512338858195,285.14303474524246,283.10616771025167,283.9778,4074194,309.51
2020-08-14 00:00:00+00:00,283.64749723756904,284.4457289134438,282.9043160220994,283.9778,2098031,309.51
2020-08-17 00:00:00+00:00,284.83107446459053,285.22560275353453,284.5099467875431,284.8953,2183360,310.51
2020-08-18 00:00:00+00:00,285.28067322599304,285.84952800809873,283.7667854994215,285.4917,2415819,311.16
2020-08-19 00:00:00+00:00,285.8495382455461,286.51931890007745,283.7943208946553,284.2806,2498298,309.84
2020-08-20 00:00:00+00:00,282.6932545106493,285.59257840229077,282.61067883019115,285.1797,2409269,310.82
2020-08-21 00:00:00+00:00,284.86781372743883,286.3541763216106,284.583386317443,286.1982,2316223,311.93
2020-08-24 00:00:00+00:00,288.42315670739447,289.17092554427165,287.5194115487147,289.1067,2349556,315.1
2020-08-25 00:00:00+00:00,289.64797112903227,290.170950455408,288.5561370967742,290.1159,2890833,316.2
2020-08-26 00:00:00+00:00,290.62057923488715,293.26300154963525,290.1618253607989,293.0795,2605983,319.43
2020-08-27 00:00:00+00:00,293.80432615990253,294.9815803317087,292.1982288738401,293.6667,2295927,320.07
2020-08-28 00:00:00+00:00,294.648417240416,295.69437599875835,293.55658309793574,295.5751,3538745,322.15
2020-08-31 00:00:00+00:00,295.4191073266463,296.19898881378106,294.3364483209769,294.5383,5067980,321.02
2020-09-01 00:00:00+00:00,295.26310828961175,297.364200604901,294.4648767113141,297.2908,3010783,324.02
2020-09-02 00:00:00+00:00,299.05247828070816,302.4747822139077,297.98816928271583,301.6215,5273074,328.74
2020-09-03 00:00:00+00:00,300.03414797706074,300.49290175825564,288.84055571590625,291.1802,6891967,317.36
2020-09-04 00:00:00+00:00,291.5564479575631,293.2354871990344,281.58313836477987,288.8498,5133935,314.82
2020-09-08 00:00:00+00:00,283.83097414834896,284.9686835646862,280.61969756997746,280.9133,4278260,306.17
2020-09-09 00:00:00+00:00,284.5604464607156,288.7029940296596,283.77597731975277,286.4551,3339835,312.21
2020-09-10 00:00:00+00:00,288.1433065199674,288.74886162999184,280.592217799511,281.4455,3588984,306.75
2020-09-11 00:00:00+00:00,283.0969870186983,284.05119498012897,279.07830348882663,281.6565,3690254,306.98
2020-09-14 00:00:00+00:00,284.50081805961986,286.95056388076017,284.0695893944754,285.3174,3056093,310.97
2020-09-15 00:00:00+00:00,287.61115698243594,288.335988111463,285.8220168538247,286.7854,2570928,312.57
2020-09-16 00:00:00+00:00,287.92306907262855,289.180054524429,285.3815729401561,285.6293,2316222,311.31
2020-09-17 00:00:00+00:00,281.1977587608153,284.67511292977736,280.7206547587413,283.1337,2848323,308.59
2020-09-18 00:00:00+00:00,283.91353348196725,283.9502337836066,277.59190652459023,279.8398,3421015,305.0
2020-09-21 00:00:00+00:00,275.68354059796485,276.8579504623952,272.3438125459909,276.8029,4536837,301.69
2020-09-22 00:00:00+00:00,278.1057624302684,280.0600538557459,275.8670436142285,279.6013,2741533,304.74
2020-09-23 00:00:00+00:00,280.09675872077395,280.34448580690673,272.655771059527,273.1237,2755784,297.68
2020-09-24 00:00:00+00:00,271.8666584924623,276.59182231155773,270.70142391959797,273.876,3130664,298.5
2020-09-25 00:00:00+00:00,273.0273192347006,278.9590057636508,272.24285025059356,278.2617,2683969,303.28
2020-09-28 00:00:00+00:00,282.060242683876,283.52825513685303,281.15190997859645,282.9227,2437913,308.36
2020-09-29 00:00:00+00:00,282.7277831378971,283.3451329446446,280.70987854569273,281.3088,2307331,305.3
2020-09-30 00:00:00+00:00,281.9906177929466,286.3304021699659,281.8155484641639,283.4741,4304504,307.65
2020-10-01 00:00:00+00:00,285.786893875969,286.662240629845,283.57549155038754,285.2709,3005650,309.6
2020-10-02 00:00:00+00:00,280.77436484089725,284.33103669796554,280.30904896322374,282.6172,3125089,306.72
2020-10-05 00:00:00+00:00,284.43239438605485,287.74949769289924,284.43239438605485,287.556,2364454,312.08
2020-10-06 00:00:00+00:00,287.71262137657607,289.6199556479916,283.04158738840505,283.5386,3389808,307.72
