strategy,status,unavailable_reason
MSFT.US:value_gate,unavailable,"Required point-in-time price inputs unavailable: {'AAPL.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'MSFT.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'GOOGL.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'AMZN.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'META.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'NVDA.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'JPM.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'JNJ.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'XOM.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'PG.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'UNH.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'HD.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'CVX.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'COST.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'AVGO.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'BAC.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'WMT.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'PFE.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'KO.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'ORCL.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'CSCO.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'CRM.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'ADBE.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'MRK.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)""}"
MSFT.US:quality_gate,unavailable,"Required point-in-time price inputs unavailable: {'AAPL.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'MSFT.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'GOOGL.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'AMZN.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'META.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'NVDA.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'JPM.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'JNJ.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'XOM.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'PG.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'UNH.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'HD.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'CVX.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'COST.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'AVGO.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'BAC.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'WMT.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'PFE.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'KO.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'ORCL.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'CSCO.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'CRM.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'ADBE.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'MRK.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)""}"
MSFT.US:value_quality_gate,unavailable,"Required point-in-time price inputs unavailable: {'AAPL.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'MSFT.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'GOOGL.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'AMZN.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'META.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'NVDA.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'JPM.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'JNJ.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'XOM.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'PG.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'UNH.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'HD.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'CVX.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'COST.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'AVGO.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'BAC.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'WMT.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'PFE.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'KO.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'ORCL.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'CSCO.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'CRM.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'ADBE.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)"", 'MRK.US': ""Itoflow get_daily_prices failed for the stock universe: MarketDataProviderError: API request failed: HTTPSConnectionPool(host='eodhd.com', port=443): Read timed out. (read timeout=14.989545644999453)""}"
