strategy,period,total_return_pct,sharpe_ratio,max_drawdown_pct,trade_count,final_value
rsi_baseline,2024-01-01 to 2024-12-31,5.520798856972578,2.461955891891373,0.7792927139904459,4,10552.079885697258
rsi_itoflow,2024-01-01 to 2024-12-31,6.784369986006478,1.566564691076335,3.592683550234982,10,10678.436998600648
